Coord.,Distance,Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,P_rx (dBm),Comments
G-22,12.4925,,,,,,NP,
H-22,11.4976,,,,,,NP,
I-22,10.5829,,,,,,NP,
J-22,9.771,,,,,,NP,
K-22,9.0896,,,,,,NP,
L-22,8.5698,,,,,,NP,
M-22,8.2421,1,1,0,1,0,-66,
N-22,8.13,,,,,,NP,
O-22,8.2421,0,0,0,1,0,-59,
P-22,8.5698,0,0,0,3,0,-62,
Q-22,9.0896,0,0,0,3,0,-62,
R-22,9.771,0,0,1,0,0,-60,
S-22,10.5829,0,0,1,0,0,-57,
T-22,11.4976,,,,,,NP,
U-22,12.4925,,,,,,NP,
V-22,13.55,,,,,,NP,
W-22,14.6566,,,,,,NP,
X-22,15.8019,,,,,,NP,
Y-22,16.9781,,,,,,NP,
A-23,20.0063,,,,,,NP,
B-23,18.8243,,,,,,NP,
C-23,17.667,,,,,,NP,
D-23,16.5399,,,,,,NP,
E-23,15.4494,,,,,,NP,
F-23,14.4038,,,,,,NP,
G-23,13.4138,,,,,,NP,
H-23,12.4925,,,,,,NP,
I-23,11.6562,,,,,,NP,
J-23,10.9244,,,,,,NP,
K-23,10.3194,,,,,,NP,
L-23,9.8645,1,1,0,1,0,-73,
M-23,9.5813,2,0,0,1,0,-70,
N-23,9.485,0,0,0,1,0,-74,
O-23,9.5813,,,,,,NP,
P-23,9.8645,0,0,0,3,0,-55,
Q-23,10.3194,0,0,0,3,0,-63,
R-23,10.9244,0,0,0,1,1,-61,
S-23,11.6562,0,0,1,0,0,-65,
T-23,12.4925,,,,,,NP,
U-23,13.4138,,,,,,NP,
V-23,14.4038,,,,,,NP,
W-23,15.4494,,,,,,NP,
X-23,16.5399,,,,,,NP,
Y-23,17.667,,,,,,NP,
A-24,20.6832,,,,,,NP,
B-24,19.5421,,,,,,NP,
C-24,18.43,,,,,,NP,
D-24,17.3525,,,,,,NP,
E-24,16.3164,,,,,,NP,
F-24,15.3301,,,,,,NP,
G-24,14.4038,,,,,,NP,
H-24,13.55,,,,,,NP,
I-24,12.783,,,,,,NP,
J-24,12.1195,,,,,,NP,
K-24,11.5771,,,,,,NP,
L-24,11.1736,1,1,0,1,0,-66,
M-24,10.9244,2,0,0,1,0,-68,
N-24,10.84,1,0,0,1,0,-78,
O-24,10.9244,,,,,,NP,
P-24,11.1736,,,,,,NP,
Q-24,11.5771,0,0,0,3,0,-59,
R-24,12.1195,0,0,0,3,0,-60,
S-24,12.783,,,,,,NP,
T-24,13.55,,,,,,NP,
U-24,14.4038,,,,,,NP,
V-24,15.3301,,,,,,NP,
W-24,16.3164,,,,,,NP,
X-24,17.3525,,,,,,NP,
Y-24,18.43,,,,,,NP,
A-25,21.4244,,,,,,NP,
B-25,20.325,,,,,,NP,
C-25,19.2582,,,,,,NP,
D-25,18.2297,,,,,,NP,
E-25,17.2463,,,,,,NP,
F-25,16.3164,,,,,,NP,
G-25,15.4494,,,,,,NP,
H-25,14.6566,,,,,,NP,
I-25,13.9506,,,,,,NP,
J-25,13.3452,,,,,,NP,
K-25,12.8547,,,,,,NP,
L-25,12.4925,,,,,,NP,
M-25,12.27,2,0,0,1,0,-70,
N-25,12.195,1,0,0,1,0,-77,
O-25,12.27,0,0,0,2,0,-79,
P-25,12.4925,,,,,,NP,
Q-25,12.8547,,,,,,NP,
R-25,13.3452,,,,,,NP,
S-25,13.9506,,,,,,NP,
T-25,14.6566,,,,,,NP,
